"Date,""Source"",""Site ID"",""POC"",""Daily Mean Pb Concentration"",""Units"",""Daily AQI Value"",""Local Site Name"",""Daily Obs Count"",""Percent Complete"",""AQS Parameter Code"",""AQS Parameter Description"",""Method Code"",""CBSA Code"",""CBSA Name"",""State FIPS Code"",""State"",""County FIPS Code"",""County"",""Site Latitude"",""Site Longitude"""
"01/07/2024,""AQS"",""060250005"",""7"",""0.00171"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"01/25/2024,""AQS"",""060250005"",""7"",""0.00495"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"01/31/2024,""AQS"",""060250005"",""7"",""0.0244"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"02/12/2024,""AQS"",""060250005"",""7"",""0.00171"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"02/24/2024,""AQS"",""060250005"",""7"",""0.00297"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"03/07/2024,""AQS"",""060250005"",""7"",""0.00157"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"03/19/2024,""AQS"",""060250005"",""7"",""0.00617"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"03/31/2024,""AQS"",""060250005"",""7"",""0.00263"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"04/12/2024,""AQS"",""060250005"",""7"",""0.00981"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"04/24/2024,""AQS"",""060250005"",""7"",""0.00663"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"05/06/2024,""AQS"",""060250005"",""7"",""0.00272"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"05/18/2024,""AQS"",""060250005"",""7"",""0.00961"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"05/30/2024,""AQS"",""060250005"",""7"",""0.00402"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"06/11/2024,""AQS"",""060250005"",""7"",""0.011"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"06/23/2024,""AQS"",""060250005"",""7"",""0.00301"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"07/05/2024,""AQS"",""060250005"",""7"",""0.0507"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"07/17/2024,""AQS"",""060250005"",""7"",""0.00819"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"07/29/2024,""AQS"",""060250005"",""7"",""0.00463"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"08/10/2024,""AQS"",""060250005"",""7"",""0.0204"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"08/22/2024,""AQS"",""060250005"",""7"",""0.0045"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"09/03/2024,""AQS"",""060250005"",""7"",""0.0157"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"09/21/2024,""AQS"",""060250005"",""7"",""0.00666"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"09/27/2024,""AQS"",""060250005"",""7"",""0.00337"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"10/09/2024,""AQS"",""060250005"",""7"",""0.0189"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"10/21/2024,""AQS"",""060250005"",""7"",""0.00496"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"11/02/2024,""AQS"",""060250005"",""7"",""0.00903"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"11/14/2024,""AQS"",""060250005"",""7"",""0.0097"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"11/26/2024,""AQS"",""060250005"",""7"",""0.0436"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"12/08/2024,""AQS"",""060250005"",""7"",""0.0237"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"12/20/2024,""AQS"",""060250005"",""7"",""0.0109"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
